,Title,Finish,Start,Driver
0,2018 NAPA Fall Final SK Modified® Feature Results,1,13,"Michael Christopher, Jr."
1,2018 NAPA Fall Final SK Modified® Feature Results,2,10,Keith Rocco
2,2018 NAPA Fall Final SK Modified® Feature Results,3,8,Todd Owen
3,2018 NAPA Fall Final SK Modified® Feature Results,4,7,Joey Cipriano
4,2018 NAPA Fall Final SK Modified® Feature Results,5,6,Eric Berndt
5,2018 NAPA Fall Final SK Modified® Feature Results,6,14,Max Zachem
6,2018 NAPA Fall Final SK Modified® Feature Results,7,2,Matt Galko
7,2018 NAPA Fall Final SK Modified® Feature Results,8,23,Troy Talman
8,2018 NAPA Fall Final SK Modified® Feature Results,9,12,Glen Reen
9,2018 NAPA Fall Final SK Modified® Feature Results,10,20,John Montesanto
10,2018 NAPA Fall Final SK Modified® Feature Results,11,19,Cory DiMatteo - R
11,2018 NAPA Fall Final SK Modified® Feature Results,12,12,Robert Palmer
12,2018 NAPA Fall Final SK Modified® Feature Results,13,4,Tyler Hines
13,2018 NAPA Fall Final SK Modified® Feature Results,14,16,Marcello Rufrano - R
14,2018 NAPA Fall Final SK Modified® Feature Results,15,17,Nick Salva
15,2018 NAPA Fall Final SK Modified® Feature Results,16,1,David Arute - R
16,2018 NAPA Fall Final SK Modified® Feature Results,17,18,Stephen Kopcik
17,2018 NAPA Fall Final SK Modified® Feature Results,18,3,Josh Wood
18,2018 NAPA Fall Final SK Modified® Feature Results,19,21,"Joe Allegro, Jr."
19,2018 NAPA Fall Final SK Modified® Feature Results,20,25,Shawn Thibeault
20,2018 NAPA Fall Final SK Modified® Feature Results,21,5,"Tony Membrino, Jr."
21,2018 NAPA Fall Final SK Modified® Feature Results,22,22,Matt Vassar - R
22,2018 NAPA Fall Final SK Modified® Feature Results,23,9,"Michael Gervais, Jr."
23,2018 NAPA Fall Final SK Modified® Feature Results,24,11,Ronnie Williams
24,2018 NAPA Fall Final SK Modified® Feature Results,25,15,Dan Avery
25,"September 14, 2018 SK Modified® Feature Results",1,13,"Michael Christopher, Jr."
26,"September 14, 2018 SK Modified® Feature Results",2,6,Glen Reen
27,"September 14, 2018 SK Modified® Feature Results",3,4,Todd Owen
28,"September 14, 2018 SK Modified® Feature Results",4,7,"Michael Gervais, Jr."
29,"September 14, 2018 SK Modified® Feature Results",5,11,Eric Berndt
30,"September 14, 2018 SK Modified® Feature Results",6,9,Ronnie Williams
31,"September 14, 2018 SK Modified® Feature Results",7,5,Joey Cipriano
32,"September 14, 2018 SK Modified® Feature Results",8,15,Tom Bolles
33,"September 14, 2018 SK Modified® Feature Results",9,17,"Tony Membrino, Jr."
34,"September 14, 2018 SK Modified® Feature Results",10,14,Max Zachem
35,"September 14, 2018 SK Modified® Feature Results",11,1,Tyler Hines
36,"September 14, 2018 SK Modified® Feature Results",12,16,Josh Wood
37,"September 14, 2018 SK Modified® Feature Results",13,18,David Arute - R
38,"September 14, 2018 SK Modified® Feature Results",14,12,Stephen Kopcik
39,"September 14, 2018 SK Modified® Feature Results",15,3,Matt Galko
40,"September 14, 2018 SK Modified® Feature Results",16,10,Keith Rocco
41,"September 14, 2018 SK Modified® Feature Results",17,8,Chase Dowling
42,"September 14, 2018 SK Modified® Feature Results",18,2,Matt Vassar - R
43,"September 7, 2018 SK Modified® Feature Results",1,10,"Michael Christopher, Jr."
44,"September 7, 2018 SK Modified® Feature Results",2,14,Woody Pitkat
45,"September 7, 2018 SK Modified® Feature Results",3,8,Chase Dowling
46,"September 7, 2018 SK Modified® Feature Results",4,5,Glen Reen
47,"September 7, 2018 SK Modified® Feature Results",5,9,Ronnie Williams
48,"September 7, 2018 SK Modified® Feature Results",6,6,"Michael Gervais, Jr."
49,"September 7, 2018 SK Modified® Feature Results",7,12,Eric Berndt
50,"September 7, 2018 SK Modified® Feature Results",8,11,Joey Cipriano
51,"September 7, 2018 SK Modified® Feature Results",9,4,Matt Galko
52,"September 7, 2018 SK Modified® Feature Results",10,15,Josh Wood
53,"September 7, 2018 SK Modified® Feature Results",11,2,"Tony Membrino, Jr."
54,"September 7, 2018 SK Modified® Feature Results",12,7,Todd Owen
55,"September 7, 2018 SK Modified® Feature Results",13,16,David Arute - R
56,"September 7, 2018 SK Modified® Feature Results",14,1,Tyler Hines
57,"September 7, 2018 SK Modified® Feature Results",15,13,Keith Rocco
58,"September 7, 2018 SK Modified® Feature Results",16,3,Matt Vassar - R
59,"September 7, 2018 SK Modified® Feature Results",17,17,Nick Giardina - R
60,"August 31, 2018 SK Modified® Feature Results",1,14,Keith Rocco
61,"August 31, 2018 SK Modified® Feature Results",2,5,Ronnie Williams
62,"August 31, 2018 SK Modified® Feature Results",3,1,"Michael Gervais, Jr."
63,"August 31, 2018 SK Modified® Feature Results",4,13,Glen Reen
64,"August 31, 2018 SK Modified® Feature Results",5,11,"Michael Christopher, Jr."
65,"August 31, 2018 SK Modified® Feature Results",6,10,Joey Cipiano
66,"August 31, 2018 SK Modified® Feature Results",7,20,Cory DiMatteo - R
67,"August 31, 2018 SK Modified® Feature Results",8,8,Chase Dowling
68,"August 31, 2018 SK Modified® Feature Results",9,9,Todd Owen
69,"August 31, 2018 SK Modified® Feature Results",10,16,"Tony Membrino, Jr."
70,"August 31, 2018 SK Modified® Feature Results",11,3,Tyler Hines
71,"August 31, 2018 SK Modified® Feature Results",12,7,Tom Bolles
72,"August 31, 2018 SK Modified® Feature Results",13,12,Matt Galko
73,"August 31, 2018 SK Modified® Feature Results",14,4,David Arute - R
74,"August 31, 2018 SK Modified® Feature Results",15,18,Josh Wood
75,"August 31, 2018 SK Modified® Feature Results",16,17,Troy Talman
76,"August 31, 2018 SK Modified® Feature Results",17,21,"Tommy Membrino, Jr."
77,"August 31, 2018 SK Modified® Feature Results",18,19,Dan Avery
78,"August 31, 2018 SK Modified® Feature Results",19,6,Matt Vassar
79,"August 31, 2018 SK Modified® Feature Results",20,2,Stephen Kopcik
80,"August 31, 2018 SK Modified® Feature Results",21,15,Eric Berndt
81,"August 24, 2018 SK Modified® Feature Results",1,14,Eric Berndt
82,"August 24, 2018 SK Modified® Feature Results",2,6,"Mike Christopher, Jr."
83,"August 24, 2018 SK Modified® Feature Results",3,6,Todd Owen
84,"August 24, 2018 SK Modified® Feature Results",4,11,Matt Galko
85,"August 24, 2018 SK Modified® Feature Results",5,1,Matt Vassar - R
86,"August 24, 2018 SK Modified® Feature Results",6,8,Chase Dowling
87,"August 24, 2018 SK Modified® Feature Results",7,17,Josh Wood
88,"August 24, 2018 SK Modified® Feature Results",8,19,"Tony Membrino, Jr."
