,Date,Event,Race_Type,Finish,Start,Driver,Rookie
114,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,14,0,Dan Avery,
110,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,10,0,Jeff Baral,
105,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,5,0,Keith Rocco,
109,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,9,0,Cam McDermott,
102,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,2,0,Ted Christopher,
103,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,3,0,"Michael Christopher, Jr.",
104,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,4,0,Matt Galko,
101,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,1,0,Rowan Pennink,
106,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,6,0,Todd Owen,
107,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,7,0,Ronnie Williams,
108,2016-08-26, Lincoln Tech Back 2 Skool Blitz ,SK Modified Feature,8,0,Danny Cates,
123,2016-08-19, CBYD Night ,SK Modified Feature,1,0,Eric Berndt,
136,2016-08-19, CBYD Night ,SK Modified Feature,14,0,Keith Rocco,
124,2016-08-19, CBYD Night ,SK Modified Feature,2,0,Ronnie Williams,
144,2016-08-19, CBYD Night ,SK Modified Feature,22,0,Frank Ruocco,
143,2016-08-19, CBYD Night ,SK Modified Feature,21,0,Danny Cates,
142,2016-08-19, CBYD Night ,SK Modified Feature,20,0,Ed Spiers,
141,2016-08-19, CBYD Night ,SK Modified Feature,19,0,Stephen Kopcik,
140,2016-08-19, CBYD Night ,SK Modified Feature,18,0,Payton Henry,
139,2016-08-19, CBYD Night ,SK Modified Feature,17,0,"Michael Gervais, Jr.",
138,2016-08-19, CBYD Night ,SK Modified Feature,16,0,Ted Christopher,
137,2016-08-19, CBYD Night ,SK Modified Feature,15,0,Matt Galko,
125,2016-08-19, CBYD Night ,SK Modified Feature,3,0,Dan Avery,
135,2016-08-19, CBYD Night ,SK Modified Feature,13,0,Cam McDermott,
133,2016-08-19, CBYD Night ,SK Modified Feature,11,0,Tom Bolles,
132,2016-08-19, CBYD Night ,SK Modified Feature,10,0,Jeff Gallup,
131,2016-08-19, CBYD Night ,SK Modified Feature,9,0,Nick Salva,
130,2016-08-19, CBYD Night ,SK Modified Feature,8,0,Woody Pitkat,
129,2016-08-19, CBYD Night ,SK Modified Feature,7,0,Rowan Pennink,
128,2016-08-19, CBYD Night ,SK Modified Feature,6,0,Tyler Hines,
127,2016-08-19, CBYD Night ,SK Modified Feature,5,0,Todd Owen,
134,2016-08-19, CBYD Night ,SK Modified Feature,12,0,Bob Charland,
126,2016-08-19, CBYD Night ,SK Modified Feature,4,0,"Michael Christopher, Jr.",
162,2016-08-05, Stafford 150 ,SK Modified Feature,18,0,Tom Bolles,
159,2016-08-05, Stafford 150 ,SK Modified Feature,15,0,Cam McDermott,
160,2016-08-05, Stafford 150 ,SK Modified Feature,16,0,Matt Galko,
161,2016-08-05, Stafford 150 ,SK Modified Feature,17,0,Tyler Hines,
167,2016-08-05, Stafford 150 ,SK Modified Feature,23,0,John Montesanto,
163,2016-08-05, Stafford 150 ,SK Modified Feature,19,0,Ed Spiers,
164,2016-08-05, Stafford 150 ,SK Modified Feature,20,0,Dylan Izzo,
165,2016-08-05, Stafford 150 ,SK Modified Feature,21,0,Payton Henry,
166,2016-08-05, Stafford 150 ,SK Modified Feature,22,0,"Ed Flemke, Jr.",
158,2016-08-05, Stafford 150 ,SK Modified Feature,14,0,Dan Avery,
157,2016-08-05, Stafford 150 ,SK Modified Feature,13,0,Jeff Gallup,
156,2016-08-05, Stafford 150 ,SK Modified Feature,12,0,"Michael Christopher, Jr.",
150,2016-08-05, Stafford 150 ,SK Modified Feature,6,0,Eric Berndt,
145,2016-08-05, Stafford 150 ,SK Modified Feature,1,0,Rowan Pennink,
146,2016-08-05, Stafford 150 ,SK Modified Feature,2,0,"Michael Gervais, Jr.",
147,2016-08-05, Stafford 150 ,SK Modified Feature,3,0,Keith Rocco,
148,2016-08-05, Stafford 150 ,SK Modified Feature,4,0,Danny Cates,
149,2016-08-05, Stafford 150 ,SK Modified Feature,5,0,Woody Pitkat,
151,2016-08-05, Stafford 150 ,SK Modified Feature,7,0,Ron Silk,
152,2016-08-05, Stafford 150 ,SK Modified Feature,8,0,Stephen Kopcik,
153,2016-08-05, Stafford 150 ,SK Modified Feature,9,0,Ted Christopher,
154,2016-08-05, Stafford 150 ,SK Modified Feature,10,0,Ronnie Williams,
155,2016-08-05, Stafford 150 ,SK Modified Feature,11,0,Todd Owen,
186,2016-07-29, Mid-Season Stretch ,SK Modified Feature,19,0,Payton Henry,
182,2016-07-29, Mid-Season Stretch ,SK Modified Feature,15,0,Ted Christopher,
183,2016-07-29, Mid-Season Stretch ,SK Modified Feature,16,0,Brian Sullivan,
184,2016-07-29, Mid-Season Stretch ,SK Modified Feature,17,0,Tom Bolles,
185,2016-07-29, Mid-Season Stretch ,SK Modified Feature,18,0,Ed Spiers,
191,2016-07-29, Mid-Season Stretch ,SK Modified Feature,24,0,Josh Wood,
187,2016-07-29, Mid-Season Stretch ,SK Modified Feature,20,0,Dave Salzarulo,
188,2016-07-29, Mid-Season Stretch ,SK Modified Feature,21,0,Jeff Malave,
189,2016-07-29, Mid-Season Stretch ,SK Modified Feature,22,0,"Michael Christopher, Jr.",
190,2016-07-29, Mid-Season Stretch ,SK Modified Feature,23,0,Matt Gallo,
180,2016-07-29, Mid-Season Stretch ,SK Modified Feature,13,0,Tyler Hines,
181,2016-07-29, Mid-Season Stretch ,SK Modified Feature,14,0,"Tommy Membrino, Jr.",
170,2016-07-29, Mid-Season Stretch ,SK Modified Feature,3,0,Keith Rocco,
179,2016-07-29, Mid-Season Stretch ,SK Modified Feature,12,0,Jeff Gallup,
173,2016-07-29, Mid-Season Stretch ,SK Modified Feature,6,0,Matt Galko,
178,2016-07-29, Mid-Season Stretch ,SK Modified Feature,11,0,Eric Berndt,
168,2016-07-29, Mid-Season Stretch ,SK Modified Feature,1,0,Dan Avery,
169,2016-07-29, Mid-Season Stretch ,SK Modified Feature,2,0,Rowan Pennink,
172,2016-07-29, Mid-Season Stretch ,SK Modified Feature,5,0,Ronnie Williams,
171,2016-07-29, Mid-Season Stretch ,SK Modified Feature,4,0,Woody Pitkat,
174,2016-07-29, Mid-Season Stretch ,SK Modified Feature,7,0,"Michael Gervais, Jr.",
175,2016-07-29, Mid-Season Stretch ,SK Modified Feature,8,0,Todd Owen,
176,2016-07-29, Mid-Season Stretch ,SK Modified Feature,9,0,Stephen Kopcik,
177,2016-07-29, Mid-Season Stretch ,SK Modified Feature,10,0,Frank Ruocco,
198,2016-07-15, Girls Night Out ,SK Modified Feature,7,0,Woody Pitkat,
203,2016-07-15, Girls Night Out ,SK Modified Feature,12,0,Keith Rocco,
202,2016-07-15, Girls Night Out ,SK Modified Feature,11,0,Rowan Pennink,
201,2016-07-15, Girls Night Out ,SK Modified Feature,10,0,Tyler Hines,
200,2016-07-15, Girls Night Out ,SK Modified Feature,9,0,Jeff Baral,
199,2016-07-15, Girls Night Out ,SK Modified Feature,8,0,Stephen Kopcik,
193,2016-07-15, Girls Night Out ,SK Modified Feature,2,0,"Michael Christopher, Jr.",
197,2016-07-15, Girls Night Out ,SK Modified Feature,6,0,Ted Christopher,
196,2016-07-15, Girls Night Out ,SK Modified Feature,5,0,Matt Galko,
195,2016-07-15, Girls Night Out ,SK Modified Feature,4,0,Eric Berndt,
194,2016-07-15, Girls Night Out ,SK Modified Feature,3,0,Tom Bolles,
205,2016-07-15, Girls Night Out ,SK Modified Feature,14,0,"Michael Gervais, Jr.",
204,2016-07-15, Girls Night Out ,SK Modified Feature,13,0,Payton Henry,
192,2016-07-15, Girls Night Out ,SK Modified Feature,1,0,Todd Owen,
206,2016-07-15, Girls Night Out ,SK Modified Feature,15,0,"Ed Flemke, Jr.",
208,2016-07-15, Girls Night Out ,SK Modified Feature,17,0,Matt Gallo,
209,2016-07-15, Girls Night Out ,SK Modified Feature,18,0,Ronnie Williams,
207,2016-07-15, Girls Night Out ,SK Modified Feature,16,0,Dan Avery,
231,2016-07-08, NAPA SK 5k ,SK Modified Feature,22,0,Todd Owen,
225,2016-07-08, NAPA SK 5k ,SK Modified Feature,16,0,Justin Gaydosh,
226,2016-07-08, NAPA SK 5k ,SK Modified Feature,17,0,Danny Cates,
228,2016-07-08, NAPA SK 5k ,SK Modified Feature,19,0,"Tommy Membrino, Jr.",
229,2016-07-08, NAPA SK 5k ,SK Modified Feature,20,0,Stephen Kopcik,
230,2016-07-08, NAPA SK 5k ,SK Modified Feature,21,0,Tyler Hines,
233,2016-07-08, NAPA SK 5k ,SK Modified Feature,24,0,D.J. Burnham,
232,2016-07-08, NAPA SK 5k ,SK Modified Feature,23,0,Cam McDermott,
223,2016-07-08, NAPA SK 5k ,SK Modified Feature,14,0,Ed Spiers,
234,2016-07-08, NAPA SK 5k ,SK Modified Feature,25,0,Nick Salva,
235,2016-07-08, NAPA SK 5k ,SK Modified Feature,26,0,Tom Bolles,
236,2016-07-08, NAPA SK 5k ,SK Modified Feature,27,0,Joey Mucciacciaro,
224,2016-07-08, NAPA SK 5k ,SK Modified Feature,15,0,Bo Gunning,
227,2016-07-08, NAPA SK 5k ,SK Modified Feature,18,0,Brian Sullivan,
222,2016-07-08, NAPA SK 5k ,SK Modified Feature,13,0,Matt Galko,
215,2016-07-08, NAPA SK 5k ,SK Modified Feature,6,0,Woody Pitkat,
210,2016-07-08, NAPA SK 5k ,SK Modified Feature,1,0,Ted Christopher,
221,2016-07-08, NAPA SK 5k ,SK Modified Feature,12,0,Frank Ruocco,
212,2016-07-08, NAPA SK 5k ,SK Modified Feature,3,0,Eric Berndt,
213,2016-07-08, NAPA SK 5k ,SK Modified Feature,4,0,Ronnie Williams,
214,2016-07-08, NAPA SK 5k ,SK Modified Feature,5,0,"Michael Christopher, Jr.",
211,2016-07-08, NAPA SK 5k ,SK Modified Feature,2,0,Rowan Pennink,
216,2016-07-08, NAPA SK 5k ,SK Modified Feature,7,0,Keith Rocco,
217,2016-07-08, NAPA SK 5k ,SK Modified Feature,8,0,"Michael Gervais, Jr.",
218,2016-07-08, NAPA SK 5k ,SK Modified Feature,9,0,Shawn Thibeault,
219,2016-07-08, NAPA SK 5k ,SK Modified Feature,10,0,Jeff Baral,
220,2016-07-08, NAPA SK 5k ,SK Modified Feature,11,0,Dan Avery,
249,2016-06-24, VMRS 80 ,SK Modified Feature,13,0,"Michael Christopher, Jr.",
260,2016-06-24, VMRS 80 ,SK Modified Feature,24,0,Mike Benevides,
259,2016-06-24, VMRS 80 ,SK Modified Feature,23,0,Danny Cates,
258,2016-06-24, VMRS 80 ,SK Modified Feature,22,0,D.J. Burnham,
257,2016-06-24, VMRS 80 ,SK Modified Feature,21,0,Cam McDermott,
256,2016-06-24, VMRS 80 ,SK Modified Feature,20,0,Todd Owen,
255,2016-06-24, VMRS 80 ,SK Modified Feature,19,0,"Tommy Membrino, Jr.",
253,2016-06-24, VMRS 80 ,SK Modified Feature,17,0,Tom Bolles,
252,2016-06-24, VMRS 80 ,SK Modified Feature,16,0,Eric Berndt,
251,2016-06-24, VMRS 80 ,SK Modified Feature,15,0,Jeff Gallup,
250,2016-06-24, VMRS 80 ,SK Modified Feature,14,0,Nick Salva,
246,2016-06-24, VMRS 80 ,SK Modified Feature,10,0,Tyler Hines,
248,2016-06-24, VMRS 80 ,SK Modified Feature,12,0,Dan Avery,
240,2016-06-24, VMRS 80 ,SK Modified Feature,4,0,Woody Pitkat,
247,2016-06-24, VMRS 80 ,SK Modified Feature,11,0,"Michael Gervais, Jr.",
237,2016-06-24, VMRS 80 ,SK Modified Feature,1,0,Ted Christopher,
238,2016-06-24, VMRS 80 ,SK Modified Feature,2,0,Ryan Preece,
239,2016-06-24, VMRS 80 ,SK Modified Feature,3,0,Rowan Pennink,
254,2016-06-24, VMRS 80 ,SK Modified Feature,18,0,Eddy Spiers,
241,2016-06-24, VMRS 80 ,SK Modified Feature,5,0,Matt Galko,
243,2016-06-24, VMRS 80 ,SK Modified Feature,7,0,Keith Rocco,
244,2016-06-24, VMRS 80 ,SK Modified Feature,8,0,Ronnie Williams,
242,2016-06-24, VMRS 80 ,SK Modified Feature,6,0,Jeff Baral,
245,2016-06-24, VMRS 80 ,SK Modified Feature,9,0,Stephen Kopcik,
279,2016-06-17, Stafford 150 ,SK Modified Feature,19,0,Woody Pitkat,
276,2016-06-17, Stafford 150 ,SK Modified Feature,16,0,"Tommy Membrino, Jr.",
277,2016-06-17, Stafford 150 ,SK Modified Feature,17,0,Eddy Spiers,
278,2016-06-17, Stafford 150 ,SK Modified Feature,18,0,Ronnie Williams,
281,2016-06-17, Stafford 150 ,SK Modified Feature,21,0,Shawn Thibeault,
280,2016-06-17, Stafford 150 ,SK Modified Feature,20,0,Brian Sullivan,
274,2016-06-17, Stafford 150 ,SK Modified Feature,14,0,Matt Galko,
282,2016-06-17, Stafford 150 ,SK Modified Feature,22,0,Tyler Hines,
283,2016-06-17, Stafford 150 ,SK Modified Feature,23,0,Danny Cates,
284,2016-06-17, Stafford 150 ,SK Modified Feature,24,0,Jeremy Sorel,
285,2016-06-17, Stafford 150 ,SK Modified Feature,25,0,Nick Salva,
275,2016-06-17, Stafford 150 ,SK Modified Feature,15,0,D.J. Burnham,
272,2016-06-17, Stafford 150 ,SK Modified Feature,12,0,Cam McDermott,
273,2016-06-17, Stafford 150 ,SK Modified Feature,13,0,Jeff Baral,
271,2016-06-17, Stafford 150 ,SK Modified Feature,11,0,Tom Bolles,
270,2016-06-17, Stafford 150 ,SK Modified Feature,10,0,"Michael Gervais, Jr.",
269,2016-06-17, Stafford 150 ,SK Modified Feature,9,0,Dan Avery,
267,2016-06-17, Stafford 150 ,SK Modified Feature,7,0,Todd Owen,
266,2016-06-17, Stafford 150 ,SK Modified Feature,6,0,"Michael Christopher, Jr.",
265,2016-06-17, Stafford 150 ,SK Modified Feature,5,0,Ted Christopher,
264,2016-06-17, Stafford 150 ,SK Modified Feature,4,0,Stephen Kopcik,
263,2016-06-17, Stafford 150 ,SK Modified Feature,3,0,Keith Rocco,
262,2016-06-17, Stafford 150 ,SK Modified Feature,2,0,Rowan Pennink,
261,2016-06-17, Stafford 150 ,SK Modified Feature,1,0,Eric Berndt,
268,2016-06-17, Stafford 150 ,SK Modified Feature,8,0,Joey Muccicciaro,
297,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,12,0,Keith Rocco,
301,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,16,0,Tyler Hines,
295,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,10,0,"Michael Christopher, Jr.",
305,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,20,0,Todd Owen,
304,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,19,0,Eddy Spiers,
303,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,18,0,"Tommy Membrino, Jr.",
302,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,17,0,Brian Sullivan,
300,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,15,0,Nick Salva,
299,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,14,0,Cam McDermott,
298,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,13,0,Stephen Kopcik,
296,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,11,0,Matt Galko,
286,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,1,0,Woody Pitkat,
294,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,9,0,Rowan Pennink,
293,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,8,0,Dan Avery,
292,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,7,0,Tom Bolles,
291,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,6,0,Jeff Baral,
290,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,5,0,Ronnie Williams,
289,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,4,0,"Michael Gervais, Jr.",
288,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,3,0,Ted Christopher,
287,2016-06-10, Summer Blast-Off / SK Modified Xtra D ,SK Modified Feature,2,0,Eric Berndt,
324,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,19,0,"Tommy Membrino, Jr.",
319,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,14,0,"Michael Gervais, Jr.",
320,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,15,0,Tom Bolles,
321,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,16,0,Cam McDermott,
322,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,17,0,Nick Salva,
323,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,18,0,Tyler Hines,
312,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,7,0,D.J. Burnham,
325,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,20,0,Woody Pitkat,
326,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,21,0,Jeff Baral,
327,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,22,0,Danny Cates,
328,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,23,0,Frank Ruocco,
317,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,12,0,Eric Berndt,
318,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,13,0,"Joey Mucciacciaro, Jr.",
308,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,3,0,Ted Christopher,
316,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,11,0,"Michael Christopher, Jr.",
315,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,10,0,Brian Sullivan,
314,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,9,0,Matt Galko,
313,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,8,0,Ronnie Williams,
311,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,6,0,Todd Owen,
310,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,5,0,Stephen Kopcik,
309,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,4,0,Dan Avery,
307,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,2,0,Keith Rocco,
306,2016-06-03, TSI Harley-Davidson 125 ,SK Modified Feature,1,0,Rowan Pennink,
344,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,16,0,Stephen Kopcik,
348,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,20,0,Andrew Charron,
345,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,17,0,Eric Berndt,
343,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,15,0,Matt Galko,
347,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,19,0,Brian Sullivan,
346,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,18,0,Dan Avery,
349,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,21,0,"Tommy Membrino, Jr.",
350,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,22,0,Dave Salzarulo,
351,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,23,0,Tyler Hines,
352,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,24,0,D.J. Burnham,
341,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,13,0,"Michael Gervais, Jr.",
353,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,25,0,Glen Reen,
342,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,14,0,Nick Salva,
338,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,10,0,Rowan Pennink,
340,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,12,0,Cam McDermott,
333,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,5,0,Danny Cates,
339,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,11,0,Todd Owen,
329,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,1,0,Woody Pitkat,
330,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,2,0,Keith Rocco,
331,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,3,0,Ronnie Williams,
332,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,4,0,"Michael Christopher, Jr.",
334,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,6,0,Ted Christopher,
335,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,7,0,Tom Bolles,
336,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,8,0,Frank Ruocco,
337,2016-05-27, Military Appreciation Night/Whelen Event Night/LM&LLM Xtra D ,SK Modified Feature,9,0,Jeff Baral,
373,2016-05-20, VMRS 80 ,SK Modified Feature,20,0,Dan Avery,
368,2016-05-20, VMRS 80 ,SK Modified Feature,15,0,"Michael Gervais, Jr.",
369,2016-05-20, VMRS 80 ,SK Modified Feature,16,0,Cam McDermott,
370,2016-05-20, VMRS 80 ,SK Modified Feature,17,0,Bob Charland,
371,2016-05-20, VMRS 80 ,SK Modified Feature,18,0,Todd Owen,
372,2016-05-20, VMRS 80 ,SK Modified Feature,19,0,Glen Reen,
378,2016-05-20, VMRS 80 ,SK Modified Feature,25,0,Jeremy Sorel,
374,2016-05-20, VMRS 80 ,SK Modified Feature,21,0,Frank Ruocco,
375,2016-05-20, VMRS 80 ,SK Modified Feature,22,0,Woody Pitkat,
376,2016-05-20, VMRS 80 ,SK Modified Feature,23,0,"Tommy Membrino, Jr.",
377,2016-05-20, VMRS 80 ,SK Modified Feature,24,0,Tom Bolles,
379,2016-05-20, VMRS 80 ,SK Modified Feature,26,0,D.J. Burnham,
367,2016-05-20, VMRS 80 ,SK Modified Feature,14,0,Nick Salva,
366,2016-05-20, VMRS 80 ,SK Modified Feature,13,0,Joey Mucciacciaro,
365,2016-05-20, VMRS 80 ,SK Modified Feature,12,0,Tyler Hines,
358,2016-05-20, VMRS 80 ,SK Modified Feature,5,0,Ronnie Williams,
364,2016-05-20, VMRS 80 ,SK Modified Feature,11,0,Brian Sullivan,
354,2016-05-20, VMRS 80 ,SK Modified Feature,1,0,Rowan Pennink,
355,2016-05-20, VMRS 80 ,SK Modified Feature,2,0,Ryan Preece,
357,2016-05-20, VMRS 80 ,SK Modified Feature,4,0,Ted Christopher,
356,2016-05-20, VMRS 80 ,SK Modified Feature,3,0,Eric Berndt,
359,2016-05-20, VMRS 80 ,SK Modified Feature,6,0,Stephen Kopcik,
360,2016-05-20, VMRS 80 ,SK Modified Feature,7,0,Matt Galko,
361,2016-05-20, VMRS 80 ,SK Modified Feature,8,0,Keith Rocco,
362,2016-05-20, VMRS 80 ,SK Modified Feature,9,0,"Michael Christopher, Jr.",
363,2016-05-20, VMRS 80 ,SK Modified Feature,10,0,Jeff Baral,
404,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,25,0,Jeff Fialkovich,
399,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,20,0,"Michael Christopher, Jr.",
400,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,21,0,"Tommy Membrino, Jr.",
401,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,22,0,Bob Charland,
402,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,23,0,Todd Owen,
403,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,24,0,Jeff Baral,
397,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,18,0,Dave Salzarulo,
405,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,26,0,Nick Salva,
406,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,27,0,Cam McDermott,
407,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,28,0,Stephen Kopcik,
408,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,29,0,Frank Ruocco,
409,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,30,0,John Catania,
381,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,2,0,Woody Pitkat,
398,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,19,0,Michael Benevides,
382,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,3,0,Jeremy Sorel,
396,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,17,0,Ronnie Williams,
395,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,16,0,"Michael Gervais, Jr.",
394,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,15,0,Tyler Hines,
393,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,14,0,Joey Mucciacciaro,
392,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,13,0,Danny Cates,
391,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,12,0,Eric Berndt,
390,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,11,0,D.J. Burnham,
389,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,10,0,Keith Rocco,
388,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,9,0,Brian Sullivan,
387,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,8,0,Matt Galko,
386,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,7,0,Tom Bolles,
385,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,6,0,Dan Avery,
380,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,1,0,Rowan Pennink,
384,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,5,0,Ted Christopher,
383,2016-04-24, NAPA Spring Sizzler ,SK Modified Feature,4,0,Glen Reen,
