,Title,Finish,Start,Driver
0,2019 NAPA Fall Final SK Modified® Feature Results,1,9,Todd Owen
1,2019 NAPA Fall Final SK Modified® Feature Results,2,18,Stephen Kopcik
2,2019 NAPA Fall Final SK Modified® Feature Results,3,11,Keith Rocco
3,2019 NAPA Fall Final SK Modified® Feature Results,4,8,Ronnie Williams
4,2019 NAPA Fall Final SK Modified® Feature Results,5,7,"Michael Gervais, Jr."
5,2019 NAPA Fall Final SK Modified® Feature Results,6,20,Glen Reen
6,2019 NAPA Fall Final SK Modified® Feature Results,7,12,Dan Avery
7,2019 NAPA Fall Final SK Modified® Feature Results,8,1,Marcello Rufrano - R
8,2019 NAPA Fall Final SK Modified® Feature Results,9,16,Timmy Jordan
9,2019 NAPA Fall Final SK Modified® Feature Results,10,6,"Michael Christopher, Jr."
10,2019 NAPA Fall Final SK Modified® Feature Results,11,10,Cory DiMatteo
11,2019 NAPA Fall Final SK Modified® Feature Results,12,17,Anthony Flannery
12,2019 NAPA Fall Final SK Modified® Feature Results,13,4,"Tony Membrino, Jr."
13,2019 NAPA Fall Final SK Modified® Feature Results,14,21,David Arute
14,2019 NAPA Fall Final SK Modified® Feature Results,15,14,Chase Dowling
15,2019 NAPA Fall Final SK Modified® Feature Results,16,27,Ed Spiers
16,2019 NAPA Fall Final SK Modified® Feature Results,17,23,Mike Christopher
17,2019 NAPA Fall Final SK Modified® Feature Results,18,24,Mikey Flynn - R
18,2019 NAPA Fall Final SK Modified® Feature Results,19,25,Tyler Leary
19,2019 NAPA Fall Final SK Modified® Feature Results,20,2,Tyler Hines
20,2019 NAPA Fall Final SK Modified® Feature Results,21,26,Troy Talman
21,2019 NAPA Fall Final SK Modified® Feature Results,22,22,Shawn Thibeault
22,2019 NAPA Fall Final SK Modified® Feature Results,23,13,"Joey Ternullo, Jr. - R"
23,2019 NAPA Fall Final SK Modified® Feature Results,24,3,Joey Cipriano
24,2019 NAPA Fall Final SK Modified® Feature Results,25,5,Andrew Molleur - R
25,2019 NAPA Fall Final SK Modified® Feature Results,26,15,Matt Vassar
26,2019 NAPA Fall Final SK Modified® Feature Results,27,19,Curt Brainard
27,"September 13, 2019 SK Modified® Feature Results",1,8,Stephen Kopcik
28,"September 13, 2019 SK Modified® Feature Results",2,9,Todd Owen
29,"September 13, 2019 SK Modified® Feature Results",3,12,Ronnie Williams
30,"September 13, 2019 SK Modified® Feature Results",4,13,Keith Rocco
31,"September 13, 2019 SK Modified® Feature Results",5,11,"Michael Gervais, Jr."
32,"September 13, 2019 SK Modified® Feature Results",6,6,Glen Reen
33,"September 13, 2019 SK Modified® Feature Results",7,17,"Joey Ternullo, Jr. - R"
34,"September 13, 2019 SK Modified® Feature Results",8,5,Andrew Molleur - R
35,"September 13, 2019 SK Modified® Feature Results",9,7,"Tony Membrino, Jr."
36,"September 13, 2019 SK Modified® Feature Results",10,18,David Arute
37,"September 13, 2019 SK Modified® Feature Results",11,1,Tyler Leary - R
38,"September 13, 2019 SK Modified® Feature Results",12,25,Curt Brainard
39,"September 13, 2019 SK Modified® Feature Results",13,4,Joey Cipriano
40,"September 13, 2019 SK Modified® Feature Results",14,3,Tyler Hines
41,"September 13, 2019 SK Modified® Feature Results",15,21,Ed Spiers
42,"September 13, 2019 SK Modified® Feature Results",16,20,John Catania
43,"September 13, 2019 SK Modified® Feature Results",17,22,Nick Giardina - R
44,"September 13, 2019 SK Modified® Feature Results",18,23,Patrick Yuhas - R
45,"September 13, 2019 SK Modified® Feature Results",19,19,Kyle Armstrong - R
46,"September 13, 2019 SK Modified® Feature Results",20,24,Fran Siana
47,"September 13, 2019 SK Modified® Feature Results",21,2,Marcello Rufrano - R
48,"September 13, 2019 SK Modified® Feature Results",22,15,Dan Avery
49,"September 13, 2019 SK Modified® Feature Results",23,14,Anthony Nocella
50,"September 13, 2019 SK Modified® Feature Results",24,10,"Michael Christopher, Jr."
51,"August 30, 2019 SK Modified® Feature Results",1,14,Keith Rocco
52,"August 30, 2019 SK Modified® Feature Results",2,15,Ronnie Williams
53,"August 30, 2019 SK Modified® Feature Results",3,12,"Michael Gervais, Jr."
54,"August 30, 2019 SK Modified® Feature Results",4,10,Todd Owen
55,"August 30, 2019 SK Modified® Feature Results",5,1,Troy Talman
56,"August 30, 2019 SK Modified® Feature Results",6,7,David Arute
57,"August 30, 2019 SK Modified® Feature Results",7,6,"Tony Membrino, Jr."
58,"August 30, 2019 SK Modified® Feature Results",8,2,Joey Cipriano
59,"August 30, 2019 SK Modified® Feature Results",9,13,"Michael Christopher, Jr."
60,"August 30, 2019 SK Modified® Feature Results",10,21,Todd Patnode
61,"August 30, 2019 SK Modified® Feature Results",11,5,Andrew Molleur
62,"August 30, 2019 SK Modified® Feature Results",12,16,Tyler Leary - R
63,"August 30, 2019 SK Modified® Feature Results",13,17,Ed Spiers
64,"August 30, 2019 SK Modified® Feature Results",14,4,Tyler Hines
65,"August 30, 2019 SK Modified® Feature Results",15,18,John Catania
66,"August 30, 2019 SK Modified® Feature Results",16,20,Anthony Nocella
67,"August 30, 2019 SK Modified® Feature Results",17,3,Cory DiMatteo
68,"August 30, 2019 SK Modified® Feature Results",18,8,Glen Reen
69,"August 30, 2019 SK Modified® Feature Results",19,11,Stephen Kopcik
70,"August 30, 2019 SK Modified® Feature Results",20,9,Marcello Rufrano - R
71,"August 30, 2019 SK Modified® Feature Results",21,19,Dan Avery
72,"August 23, 2019 SK Modified® Feature Results",1,13,Keith Rocco
73,"August 23, 2019 SK Modified® Feature Results",2,11,"Michael Christopher, Jr."
74,"August 23, 2019 SK Modified® Feature Results",3,6,Todd Owen
75,"August 23, 2019 SK Modified® Feature Results",4,9,"Michael Gervais, Jr."
76,"August 23, 2019 SK Modified® Feature Results",5,8,Stephen Kopcik
77,"August 23, 2019 SK Modified® Feature Results",6,14,Ronnie Williams
78,"August 23, 2019 SK Modified® Feature Results",7,16,Glen Reen
79,"August 23, 2019 SK Modified® Feature Results",8,21,Chase Dowling
80,"August 23, 2019 SK Modified® Feature Results",9,4,"Tony Membrino, Jr."
81,"August 23, 2019 SK Modified® Feature Results",10,12,Joey Cipriano
82,"August 23, 2019 SK Modified® Feature Results",11,2,Troy Talman
83,"August 23, 2019 SK Modified® Feature Results",12,3,Tyler Hines
84,"August 23, 2019 SK Modified® Feature Results",13,15,Ed Spiers
85,"August 23, 2019 SK Modified® Feature Results",14,1,Tyler Leary - R
86,"August 23, 2019 SK Modified® Feature Results",15,5,Andrew Molleur - R
87,"August 23, 2019 SK Modified® Feature Results",16,18,Todd Patnode - R
88,"August 23, 2019 SK Modified® Feature Results",17,23,"Joey Ternullo, Jr. - R"
89,"August 23, 2019 SK Modified® Feature Results",18,17,Eric Berndt
90,"August 23, 2019 SK Modified® Feature Results",19,22,John Catania
91,"August 23, 2019 SK Modified® Feature Results",20,24,Anthony Nocella
92,"August 23, 2019 SK Modified® Feature Results",21,20,Nick Giardina - R
93,"August 23, 2019 SK Modified® Feature Results",22,19,David Arute
94,"August 23, 2019 SK Modified® Feature Results",23,25,Rob Goulet
95,"August 23, 2019 SK Modified® Feature Results",24,10,Marcello Rufrano - R
96,"August 16, 2019 SK Modified® Feature Results",1,15,Ronnie Williams
97,"August 16, 2019 SK Modified® Feature Results",2,12,Keith Rocco
98,"August 16, 2019 SK Modified® Feature Results",3,5,Stephen Kopcik
99,"August 16, 2019 SK Modified® Feature Results",4,7,"Michael Gervais, Jr."
100,"August 16, 2019 SK Modified® Feature Results",5,10,Cory DiMatteo
101,"August 16, 2019 SK Modified® Feature Results",6,11,Todd Owen
102,"August 16, 2019 SK Modified® Feature Results",7,1,"Tony Membrino, Jr."
103,"August 16, 2019 SK Modified® Feature Results",8,13,"Michael Christopher, Jr."
104,"August 16, 2019 SK Modified® Feature Results",9,8,Marcello Rufrano - R
105,"August 16, 2019 SK Modified® Feature Results",10,4,David Arute
106,"August 16, 2019 SK Modified® Feature Results",11,2,Tyler Hines
107,"August 16, 2019 SK Modified® Feature Results",12,20,Glen Reen
108,"August 16, 2019 SK Modified® Feature Results",13,14,Joey Cipriano
109,"August 16, 2019 SK Modified® Feature Results",14,17,Troy Talman
110,"August 16, 2019 SK Modified® Feature Results",15,16,Matt Galko
111,"August 16, 2019 SK Modified® Feature Results",16,22,John Catania
112,"August 16, 2019 SK Modified® Feature Results",17,19,Tyler Jones - R
113,"August 16, 2019 SK Modified® Feature Results",18,21,Anthony Nocella
114,"August 16, 2019 SK Modified® Feature Results",19,9,Eric Berndt
115,"August 16, 2019 SK Modified® Feature Results",20,6,Andrew Molleur - R
116,"August 16, 2019 SK Modified® Feature Results",21,3,Dan Wesson
117,"August 16, 2019 SK Modified® Feature Results",22,18,Tyler Leary
118,"August 9, 2019 SK Modified® Feature Results",1,13,Ronnie Williams
119,"August 9, 2019 SK Modified® Feature Results",2,4,"Michael Christopher, Jr."
120,"August 9, 2019 SK Modified® Feature Results",3,3,Marcello Rufrano - R
121,"August 9, 2019 SK Modified® Feature Results",4,1,David Arute
122,"August 9, 2019 SK Modified® Feature Results",5,9,Glen Reen
123,"August 9, 2019 SK Modified® Feature Results",6,10,Keith Rocco
124,"August 9, 2019 SK Modified® Feature Results",7,7,"Michael Gervais, Jr."
125,"August 9, 2019 SK Modified® Feature Results",8,2,Tyler Hines
126,"August 9, 2019 SK Modified® Feature Results",9,17,Andrew Molleur - R
127,"August 9, 2019 SK Modified® Feature Results",10,8,Stephen Kopcik
128,"August 9, 2019 SK Modified® Feature Results",11,20,"Joey Ternullo, Jr. - R"
129,"August 9, 2019 SK Modified® Feature Results",12,5,Cory DiMatteo
130,"August 9, 2019 SK Modified® Feature Results",13,12,Joey Cipriano
131,"August 9, 2019 SK Modified® Feature Results",14,22,Tyler Leary
132,"August 9, 2019 SK Modified® Feature Results",15,23,Joe Gada - R
133,"August 9, 2019 SK Modified® Feature Results",16,15,Dan Wesson
134,"August 9, 2019 SK Modified® Feature Results",17,14,Troy Talman
135,"August 9, 2019 SK Modified® Feature Results",18,16,Matt Galko
136,"August 9, 2019 SK Modified® Feature Results",19,19,Anthony Nocella
137,"August 9, 2019 SK Modified® Feature Results",20,18,"Tony Membrino, Jr."
138,"August 9, 2019 SK Modified® Feature Results",21,6,Eric Berndt
139,"August 9, 2019 SK Modified® Feature Results",22,11,Todd Owen
140,"August 2, 2019 SK Modified® Feature Results",1,12,Keith Rocco
141,"August 2, 2019 SK Modified® Feature Results",2,11,Glen Reen
142,"August 2, 2019 SK Modified® Feature Results",3,8,Eric Berndt
143,"August 2, 2019 SK Modified® Feature Results",4,4,"Michael Christopher, Jr."
144,"August 2, 2019 SK Modified® Feature Results",5,9,Cory DiMatteo
145,"August 2, 2019 SK Modified® Feature Results",6,15,Ronnie Williams
146,"August 2, 2019 SK Modified® Feature Results",7,13,Todd Owen
147,"August 2, 2019 SK Modified® Feature Results",8,17,"Tony Membrino, Jr."
148,"August 2, 2019 SK Modified® Feature Results",9,5,Andrew Molleur - R
149,"August 2, 2019 SK Modified® Feature Results",10,10,"Michael Gervais, Jr."
150,"August 2, 2019 SK Modified® Feature Results",11,6,Marcello Rufrano - R
151,"August 2, 2019 SK Modified® Feature Results",12,2,Tyler Hines
152,"August 2, 2019 SK Modified® Feature Results",13,7,Tyler Leary - R
153,"August 2, 2019 SK Modified® Feature Results",14,18,Troy Talman
154,"August 2, 2019 SK Modified® Feature Results",15,16,Dan Wesson
155,"August 2, 2019 SK Modified® Feature Results",16,3,Matt Galko
156,"August 2, 2019 SK Modified® Feature Results",17,14,Stephen Kopcik
157,"August 2, 2019 SK Modified® Feature Results",18,1,David Arute
158,"July 26, 2019 SK Modified® Feature Results",1,10,Todd Owen
159,"July 26, 2019 SK Modified® Feature Results",2,13,Ronnie Williams
160,"July 26, 2019 SK Modified® Feature Results",3,16,Glen Reen
161,"July 26, 2019 SK Modified® Feature Results",4,2,Cory DiMatteo
162,"July 26, 2019 SK Modified® Feature Results",5,20,Dan Wesson
163,"July 26, 2019 SK Modified® Feature Results",6,1,"Michael Christopher, Jr."
164,"July 26, 2019 SK Modified® Feature Results",7,9,"Michael Gervais, Jr."
165,"July 26, 2019 SK Modified® Feature Results",8,22,Eric Berndt
166,"July 26, 2019 SK Modified® Feature Results",9,15,Kyle James - R
167,"July 26, 2019 SK Modified® Feature Results",10,11,Stephen Kopcik
168,"July 26, 2019 SK Modified® Feature Results",11,6,Joey Cipriano
169,"July 26, 2019 SK Modified® Feature Results",12,14,Tyler Leary - R
170,"July 26, 2019 SK Modified® Feature Results",13,18,Ed Spiers
171,"July 26, 2019 SK Modified® Feature Results",14,23,Tyler Jones - R
172,"July 26, 2019 SK Modified® Feature Results",15,4,Tyler Hines
173,"July 26, 2019 SK Modified® Feature Results",16,17,David Arute
174,"July 26, 2019 SK Modified® Feature Results",17,7,Matt Galko
175,"July 26, 2019 SK Modified® Feature Results",18,8,Andrew Molleur - R
176,"July 26, 2019 SK Modified® Feature Results",19,8,Marcello Rufrano - R
177,"July 26, 2019 SK Modified® Feature Results",20,3,Troy Talman
178,"July 26, 2019 SK Modified® Feature Results",21,21,"Tony Membrino, Jr."
179,"July 26, 2019 SK Modified® Feature Results",22,19,John Catania
180,"July 26, 2019 SK Modified® Feature Results",23,12,Keith Rocco
181,"July 19, 2019 SK Modified® Feature Results",1,13,Ronnie Williams
182,"July 19, 2019 SK Modified® Feature Results",2,17,Stephen Kopcik
183,"July 19, 2019 SK Modified® Feature Results",3,5,"Michael Gervais, Jr."
184,"July 19, 2019 SK Modified® Feature Results",4,15,Dan Wesson
185,"July 19, 2019 SK Modified® Feature Results",5,19,Keith Rocco
186,"July 19, 2019 SK Modified® Feature Results",6,4,Marcello Rufrano - R
187,"July 19, 2019 SK Modified® Feature Results",7,12,Todd Owen
188,"July 19, 2019 SK Modified® Feature Results",8,14,Tyler Leary - R
189,"July 19, 2019 SK Modified® Feature Results",9,18,Matt Galko
190,"July 19, 2019 SK Modified® Feature Results",10,2,Troy Talman
191,"July 19, 2019 SK Modified® Feature Results",11,11,Glen Reen
192,"July 19, 2019 SK Modified® Feature Results",12,20,Ed Spiers
193,"July 19, 2019 SK Modified® Feature Results",13,22,Tyler Hines
194,"July 19, 2019 SK Modified® Feature Results",14,3,Cory DiMatteo
195,"July 19, 2019 SK Modified® Feature Results",15,8,Andrew Molleur - R
196,"July 19, 2019 SK Modified® Feature Results",16,7,Eric Berndt
197,"July 19, 2019 SK Modified® Feature Results",17,23,Justin Albernaz - R
198,"July 19, 2019 SK Modified® Feature Results",18,16,Tyler Jones - R
199,"July 19, 2019 SK Modified® Feature Results",19,6,David Arute
200,"July 19, 2019 SK Modified® Feature Results",20,9,"Tony Membrino, Jr."
201,"July 19, 2019 SK Modified® Feature Results",21,21,Matt Vassar
202,"July 19, 2019 SK Modified® Feature Results",22,1,"Michael Christopher, Jr."
203,"July 19, 2019 SK Modified® Feature Results",23,10,Joey Cipriano
204,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",1,6,Keith Rocco
205,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",2,4,Todd Owen
206,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",3,7,Stephen Kopcik
207,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",4,2,Joey Cipriano
208,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",5,1,Eric Berndt
209,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",6,5,Ronnie Williams
210,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",7,8,Andrew Molleur - R
211,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",8,3,Glen Reen
212,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",9,11,"Tony Membrino, Jr."
213,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",10,10,Dan Wesson
214,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",11,13,David Arute
215,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",12,12,"Joey Ternullo, Jr."
216,"July 12, 2019 TC 13 Shootout SK Modified® Feature Results",13,9,Kyle James
217,"July 12, 2019 SK Modified® Feature Results",1,10,Stephen Kopcik
218,"July 12, 2019 SK Modified® Feature Results",2,14,Keith Rocco
219,"July 12, 2019 SK Modified® Feature Results",3,15,Ronnie Williams
220,"July 12, 2019 SK Modified® Feature Results",4,13,Todd Owen
221,"July 12, 2019 SK Modified® Feature Results",5,12,Glen Reen
222,"July 12, 2019 SK Modified® Feature Results",6,11,Joey Cipriano
223,"July 12, 2019 SK Modified® Feature Results",7,8,Eric Berndt
224,"July 12, 2019 SK Modified® Feature Results",8,7,Andrew Molleur - R
225,"July 12, 2019 SK Modified® Feature Results",9,25,Kyle James - R
226,"July 12, 2019 SK Modified® Feature Results",10,20,Dan Wesson
227,"July 12, 2019 SK Modified® Feature Results",11,18,"Tony Membrino, Jr."
228,"July 12, 2019 SK Modified® Feature Results",12,23,"Joey Ternullo, Jr."
229,"July 12, 2019 SK Modified® Feature Results",13,5,David Arute
230,"July 12, 2019 SK Modified® Feature Results",14,9,"Michael Gervais, Jr."
231,"July 12, 2019 SK Modified® Feature Results",15,19,Tyler Leary
232,"July 12, 2019 SK Modified® Feature Results",16,22,Dan Avery
233,"July 12, 2019 SK Modified® Feature Results",17,3,Matt Galko
234,"July 12, 2019 SK Modified® Feature Results",18,6,Tyler Hines
235,"July 12, 2019 SK Modified® Feature Results",19,4,Marcello Rufrano - R
