,Title,Finish,Start,Driver
0,2016 NAPA Fall Final SK Modified® Feature,1,0,Todd Owen
1,2016 NAPA Fall Final SK Modified® Feature,2,0,"Mike Christopher, Jr."
2,2016 NAPA Fall Final SK Modified® Feature,3,0,Keith Rocco
3,2016 NAPA Fall Final SK Modified® Feature,4,0,Glen Reen
4,2016 NAPA Fall Final SK Modified® Feature,5,0,Ted Christopher
5,2016 NAPA Fall Final SK Modified® Feature,6,0,Woody Pitkat
6,2016 NAPA Fall Final SK Modified® Feature,7,0,Eric Berndt
7,2016 NAPA Fall Final SK Modified® Feature,8,0,Ronnie Williams
8,2016 NAPA Fall Final SK Modified® Feature,9,0,Danny Cates
9,2016 NAPA Fall Final SK Modified® Feature,10,0,Matt Gallo
10,2016 NAPA Fall Final SK Modified® Feature,11,0,Tyler Hines
11,2016 NAPA Fall Final SK Modified® Feature,12,0,Cam McDermott
12,2016 NAPA Fall Final SK Modified® Feature,13,0,Justin Gaydosh
13,2016 NAPA Fall Final SK Modified® Feature,14,0,"Michael Gervais, Jr."
14,2016 NAPA Fall Final SK Modified® Feature,15,0,Chris Jones
15,2016 NAPA Fall Final SK Modified® Feature,16,0,Payton Henry
16,2016 NAPA Fall Final SK Modified® Feature,17,0,D.J. Burnham
17,2016 NAPA Fall Final SK Modified® Feature,18,0,Dan Avery
18,2016 NAPA Fall Final SK Modified® Feature,19,0,Rowan Pennink
19,2016 NAPA Fall Final SK Modified® Feature,20,0,Jeff Baral
20,2016 NAPA Fall Final SK Modified® Feature,21,0,Josh Wood
21,2016 NAPA Fall Final SK Modified® Feature,22,0,Ed Spiers
22,2016 NAPA Fall Final SK Modified® Feature,23,0,Bo Gunning
23,2016 NAPA Fall Final SK Modified® Feature,24,0,Jeff Gallup
24,2016 NAPA Fall Final SK Modified® Feature,25,0,Stephen Kopcik
25,2016 NAPA Fall Final SK Modified® Feature,DNS,0,Mike Benevides
26,2016 NAPA Fall Final SK Modified® Feature,DNS,0,Tom Bolles
27,2016 NAPA Fall Final SK Modified® Feature,DNS,0,Nick Salva
28,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",1,0,Glen Reen
29,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",2,0,Jeff Baral
30,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",3,0,Woody Pitkat
31,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",4,0,Eric Berndt
32,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",5,0,Keith Rocco
33,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",6,0,Ted Christopher
34,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",7,0,Ronnie Williams
35,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",8,0,Rowan Pennink
36,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",9,0,Todd Owen
37,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",10,0,"Mike Christopher, Jr."
38,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",11,0,Frank Ruocco
39,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",12,0,Tom Bolles
40,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",13,0,Dylan Izzo
41,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",14,0,Danny Cates
42,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",15,0,Dan Avery
43,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",16,0,"Les Rose, Jr."
44,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",17,0,Robert Goulet
45,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",18,0,D.J. Burnham
46,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",19,0,Payton Henry
47,"September 16, 2016 Final Friday Night Shoot-Out SK Modified® Feature",20,0,Jeff Gallup
